District ID,,State ID,,AD,,Indicator ID,,Category ID,,Indicator Direction,,Change Availability,,Prevalence Change Category ,
Values,Label,Values,Label,Values,Label,Values,Label,Values,Label,Values,Label,Values,Label,Values,Label
318,Koch Bihar,19,West Bengal,0,No,,,,,,,,,,
319,Uttar Dinajpur,19,West Bengal,0,No,,,,,,,,,,
320,Dakshin Dinajpur,19,West Bengal,0,No,,,,,,,,,,
321,Maldah,19,West Bengal,1,Yes,,,,,,,,,,
322,Murshidabad,19,West Bengal,0,No,,,,,,,,,,
323,Birbhum,19,West Bengal,1,Yes,,,,,,,,,,
324,Nadia,19,West Bengal,1,Yes,,,,,,,,,,
325,North Twenty Four Parganas,19,West Bengal,0,No,,,,,,,,,,
326,Hugli,19,West Bengal,0,No,,,,,,,,,,
327,Bankura,19,West Bengal,1,Yes,,,,,,,,,,
328,Puruliya,19,West Bengal,1,Yes,,,,,,,,,,
329,South Twenty Four Parganas,19,West Bengal,1,Yes,,,,,,,,,,
330,Paschim Medinipur,19,West Bengal,1,Yes,,,,,,,,,,
331,Purba Medinipur,19,West Bengal,1,Yes,,,,,,,,,,
696,Paschim Barddhaman,19,West Bengal,0,No,,,,,,,,,,
697,Purba Barddhaman,19,West Bengal,0,No,,,,,,,,,,
715,Haora,19,West Bengal,0,No,,,,,,,,,,
332,Garhwa,20,Jharkhand,1,Yes,,,,,,,,,,
333,Chatra,20,Jharkhand,1,Yes,,,,,,,,,,
334,Kodarma,20,Jharkhand,0,No,,,,,,,,,,
335,Giridih,20,Jharkhand,0,No,,,,,,,,,,
336,Deoghar,20,Jharkhand,1,Yes,,,,,,,,,,
337,Godda,20,Jharkhand,1,Yes,,,,,,,,,,
338,Sahibganj,20,Jharkhand,1,Yes,,,,,,,,,,
339,Pakur,20,Jharkhand,1,Yes,,,,,,,,,,
340,Dhanbad,20,Jharkhand,1,Yes,,,,,,,,,,
341,Bokaro,20,Jharkhand,1,Yes,,,,,,,,,,
342,Lohardaga,20,Jharkhand,0,No,,,,,,,,,,
343,Purbi Singhbhum,20,Jharkhand,1,Yes,,,,,,,,,,
344,Palamu,20,Jharkhand,1,Yes,,,,,,,,,,
345,Latehar,20,Jharkhand,0,No,,,,,,,,,,
346,Hazaribagh,20,Jharkhand,1,Yes,,,,,,,,,,
347,Ramgarh,20,Jharkhand,0,No,,,,,,,,,,
348,Dumka,20,Jharkhand,0,No,,,,,,,,,,
349,Jamtara,20,Jharkhand,0,No,,,,,,,,,,
350,Ranchi,20,Jharkhand,0,No,,,,,,,,,,
351,Khunti,20,Jharkhand,0,No,,,,,,,,,,
352,Gumla,20,Jharkhand,0,No,,,,,,,,,,
353,Simdega,20,Jharkhand,0,No,,,,,,,,,,
354,Pashchimi Singhbhum,20,Jharkhand,1,Yes,,,,,,,,,,
355,Saraikela-Kharsawan,20,Jharkhand,0,No,,,,,,,,,,
356,Bargarh,21,Odisha,0,No,,,,,,,,,,
357,Jharsuguda,21,Odisha,0,No,,,,,,,,,,
358,Sambalpur,21,Odisha,0,No,,,,,,,,,,
359,Debagarh,21,Odisha,1,Yes,,,,,,,,,,
360,Sundargarh,21,Odisha,1,Yes,,,,,,,,,,
361,Kendujhar,21,Odisha,0,No,,,,,,,,,,
362,Mayurbhanj,21,Odisha,0,No,,,,,,,,,,
363,Baleshwar,21,Odisha,0,No,,,,,,,,,,
364,Bhadrak,21,Odisha,1,Yes,,,,,,,,,,
365,Kendrapara,21,Odisha,1,Yes,,,,,,,,,,
366,Cuttack,21,Odisha,0,No,,,,,,,,,,
367,Jajapur,21,Odisha,1,Yes,,,,,,,,,,
368,Dhenkanal,21,Odisha,0,No,,,,,,,,,,
369,Anugul,21,Odisha,1,Yes,,,,,,,,,,
370,Nayagarh,21,Odisha,0,No,,,,,,,,,,
371,Khordha,21,Odisha,1,Yes,,,,,,,,,,
372,Puri,21,Odisha,0,No,,,,,,,,,,
373,Ganjam,21,Odisha,0,No,,,,,,,,,,
374,Gajapati,21,Odisha,0,No,,,,,,,,,,
375,Kandhamal,21,Odisha,1,Yes,,,,,,,,,,
376,Baudh,21,Odisha,0,No,,,,,,,,,,
377,Subarnapur,21,Odisha,1,Yes,,,,,,,,,,
378,Balangir,21,Odisha,0,No,,,,,,,,,,
379,Nuapada,21,Odisha,0,No,,,,,,,,,,
380,Kalahandi,21,Odisha,0,No,,,,,,,,,,
381,Rayagada,21,Odisha,0,No,,,,,,,,,,
382,Nabarangapur,21,Odisha,1,Yes,,,,,,,,,,
383,Koraput,21,Odisha,0,No,,,,,,,,,,
384,Malkangiri,21,Odisha,1,Yes,,,,,,,,,,
716,Jagatsinghapur,21,Odisha,0,No,,,,,,,,,,
191,Balrampur,22,Chhattisgarh,1,Yes,,,,,,,,,,
385,Koriya,22,Chhattisgarh,0,No,,,,,,,,,,
386,Jashpur,22,Chhattisgarh,1,Yes,,,,,,,,,,
387,Raigarh,22,Chhattisgarh,0,No,,,,,,,,,,
388,Korba,22,Chhattisgarh,0,No,,,,,,,,,,
389,Janjgir-Champa,22,Chhattisgarh,1,Yes,,,,,,,,,,
390,Kabeerdham,22,Chhattisgarh,0,No,,,,,,,,,,
391,Rajnandgaon,22,Chhattisgarh,0,No,,,,,,,,,,
392,Mahasamund,22,Chhattisgarh,0,No,,,,,,,,,,
393,Dhamtari,22,Chhattisgarh,0,No,,,,,,,,,,
394,Uttar Bastar Kanker,22,Chhattisgarh,1,Yes,,,,,,,,,,
395,Narayanpur,22,Chhattisgarh,0,No,,,,,,,,,,
396,Bijapur,22,Chhattisgarh,0,No,,,,,,,,,,
589,Balod,22,Chhattisgarh,0,No,,,,,,,,,,
590,Baloda Bazar,22,Chhattisgarh,0,No,,,,,,,,,,
592,Bastar,22,Chhattisgarh,0,No,,,,,,,,,,
593,Bemetara,22,Chhattisgarh,0,No,,,,,,,,,,
594,Bilaspur,22,Chhattisgarh,0,No,,,,,,,,,,
595,Dantewada,22,Chhattisgarh,0,No,,,,,,,,,,
596,Durg,22,Chhattisgarh,0,No,,,,,,,,,,
597,Gariaband,22,Chhattisgarh,0,No,,,,,,,,,,
598,Kodagaon,22,Chhattisgarh,1,Yes,,,,,,,,,,
599,Mungeli,22,Chhattisgarh,0,No,,,,,,,,,,
600,Raipur,22,Chhattisgarh,0,No,,,,,,,,,,
601,Sukma,22,Chhattisgarh,0,No,,,,,,,,,,
602,Surguja,22,Chhattisgarh,0,No,,,,,,,,,,
701,Surajpur,22,Chhattisgarh,0,No,,,,,,,,,,
397,Sheopur,23,Madhya Pradesh,0,No,,,,,,,,,,
398,Morena,23,Madhya Pradesh,0,No,,,,,,,,,,
399,Bhind,23,Madhya Pradesh,1,Yes,,,,,,,,,,
400,Gwalior,23,Madhya Pradesh,0,No,,,,,,,,,,
401,Datia,23,Madhya Pradesh,1,Yes,,,,,,,,,,
402,Shivpuri,23,Madhya Pradesh,0,No,,,,,,,,,,
403,Tikamgarh,23,Madhya Pradesh,0,No,,,,,,,,,,
404,Chhatarpur,23,Madhya Pradesh,0,No,,,,,,,,,,
405,Panna,23,Madhya Pradesh,0,No,,,,,,,,,,
406,Sagar,23,Madhya Pradesh,1,Yes,,,,,,,,,,
407,Damoh,23,Madhya Pradesh,1,Yes,,,,,,,,,,
408,Satna,23,Madhya Pradesh,0,No,,,,,,,,,,
409,Rewa,23,Madhya Pradesh,0,No,,,,,,,,,,
410,Umaria,23,Madhya Pradesh,0,No,,,,,,,,,,
411,Neemuch,23,Madhya Pradesh,0,No,,,,,,,,,,
412,Mandsaur,23,Madhya Pradesh,0,No,,,,,,,,,,
413,Ratlam,23,Madhya Pradesh,0,No,,,,,,,,,,
414,Ujjain,23,Madhya Pradesh,0,No,,,,,,,,,,
415,Dewas,23,Madhya Pradesh,0,No,,,,,,,,,,
416,Dhar,23,Madhya Pradesh,0,No,,,,,,,,,,
417,Indore,23,Madhya Pradesh,0,No,,,,,,,,,,
418,Khargone (West Nimar),23,Madhya Pradesh,0,No,,,,,,,,,,
419,Barwani,23,Madhya Pradesh,0,No,,,,,,,,,,
420,Rajgarh,23,Madhya Pradesh,0,No,,,,,,,,,,
421,Vidisha,23,Madhya Pradesh,0,No,,,,,,,,,,
422,Bhopal,23,Madhya Pradesh,0,No,,,,,,,,,,
423,Sehore,23,Madhya Pradesh,1,Yes,,,,,,,,,,
424,Raisen,23,Madhya Pradesh,0,No,,,,,,,,,,
425,Betul,23,Madhya Pradesh,0,No,,,,,,,,,,
426,Harda,23,Madhya Pradesh,0,No,,,,,,,,,,
427,Hoshangabad,23,Madhya Pradesh,0,No,,,,,,,,,,
428,Katni,23,Madhya Pradesh,0,No,,,,,,,,,,
429,Jabalpur,23,Madhya Pradesh,0,No,,,,,,,,,,
430,Narsimhapur,23,Madhya Pradesh,0,No,,,,,,,,,,
431,Dindori,23,Madhya Pradesh,0,No,,,,,,,,,,
432,Mandla,23,Madhya Pradesh,0,No,,,,,,,,,,
433,Chhindwara,23,Madhya Pradesh,0,No,,,,,,,,,,
434,Seoni,23,Madhya Pradesh,0,No,,,,,,,,,,
435,Balaghat,23,Madhya Pradesh,0,No,,,,,,,,,,
436,Guna,23,Madhya Pradesh,0,No,,,,,,,,,,
437,Ashoknagar,23,Madhya Pradesh,0,No,,,,,,,,,,
438,Shahdol,23,Madhya Pradesh,1,Yes,,,,,,,,,,
439,Anuppur,23,Madhya Pradesh,0,No,,,,,,,,,,
440,Singrauli,23,Madhya Pradesh,0,No,,,,,,,,,,
441,Jhabua,23,Madhya Pradesh,0,No,,,,,,,,,,
442,Alirajpur,23,Madhya Pradesh,0,No,,,,,,,,,,
443,Khandwa (East Nimar),23,Madhya Pradesh,0,No,,,,,,,,,,
444,Burhanpur,23,Madhya Pradesh,0,No,,,,,,,,,,
633,Agar Malwa,23,Madhya Pradesh,0,No,,,,,,,,,,
634,Shajapur,23,Madhya Pradesh,0,No,,,,,,,,,,
702,Sidhi,23,Madhya Pradesh,0,No,,,,,,,,,,
445,Kachchh,24,Gujarat,0,No,,,,,,,,,,
446,Banas Kantha,24,Gujarat,1,Yes,,,,,,,,,,
447,Patan,24,Gujarat,0,No,,,,,,,,,,
448,Mahesana,24,Gujarat,0,No,,,,,,,,,,
449,Gandhinagar,24,Gujarat,0,No,,,,,,,,,,
450,Porbandar,24,Gujarat,0,No,,,,,,,,,,
451,Anand,24,Gujarat,0,No,,,,,,,,,,
452,Dohad,24,Gujarat,0,No,,,,,,,,,,
453,Narmada,24,Gujarat,1,Yes,,,,,,,,,,
454,Bharuch,24,Gujarat,0,No,,,,,,,,,,
455,The Dangs,24,Gujarat,0,No,,,,,,,,,,
456,Navsari,24,Gujarat,0,No,,,,,,,,,,
457,Valsad,24,Gujarat,0,No,,,,,,,,,,
458,Tapi,24,Gujarat,0,No,,,,,,,,,,
614,Ahmadabad,24,Gujarat,0,No,,,,,,,,,,
615,Aravali,24,Gujarat,1,Yes,,,,,,,,,,
616,Bhavnagar,24,Gujarat,0,No,,,,,,,,,,
617,Botad,24,Gujarat,1,Yes,,,,,,,,,,
618,Chhota Udaipur,24,Gujarat,1,Yes,,,,,,,,,,
619,Devbhoomi Dwarka,24,Gujarat,0,No,,,,,,,,,,
620,Gir Somnath,24,Gujarat,0,No,,,,,,,,,,
621,Jamnagar,24,Gujarat,0,No,,,,,,,,,,
622,Junagadh,24,Gujarat,0,No,,,,,,,,,,
623,Kheda,24,Gujarat,0,No,,,,,,,,,,
624,Mahisagar,24,Gujarat,0,No,,,,,,,,,,
625,Morbi,24,Gujarat,0,No,,,,,,,,,,
626,Panch Mahals,24,Gujarat,0,No,,,,,,,,,,
627,Rajkot,24,Gujarat,0,No,,,,,,,,,,
628,Sabar Kantha,24,Gujarat,0,No,,,,,,,,,,
629,Surendranagar,24,Gujarat,0,No,,,,,,,,,,
630,Vadodara,24,Gujarat,0,No,,,,,,,,,,
699,Surat,24,Gujarat,0,No,,,,,,,,,,
700,Amreli,24,Gujarat,1,Yes,,,,,,,,,,
459,Daman,25,Dadra & Nagar Haveli And Daman & Diu,0,No,,,,,,,,,,
460,Dadra & Nagar Haveli,25,Dadra & Nagar Haveli And Daman & Diu,0,No,,,,,,,,,,
722,Diu,25,Dadra & Nagar Haveli And Daman & Diu,0,No,,,,,,,,,,
461,Nandurbar,27,Maharashtra,0,No,,,,,,,,,,
462,Dhule,27,Maharashtra,0,No,,,,,,,,,,
463,Jalgaon,27,Maharashtra,0,No,,,,,,,,,,
464,Buldana,27,Maharashtra,0,No,,,,,,,,,,
465,Akola,27,Maharashtra,0,No,,,,,,,,,,
466,Washim,27,Maharashtra,0,No,,,,,,,,,,
467,Amravati,27,Maharashtra,0,No,,,,,,,,,,
468,Wardha,27,Maharashtra,0,No,,,,,,,,,,
469,Nagpur,27,Maharashtra,0,No,,,,,,,,,,
470,Bhandara,27,Maharashtra,0,No,,,,,,,,,,
471,Gondiya,27,Maharashtra,0,No,,,,,,,,,,
472,Gadchiroli,27,Maharashtra,0,No,,,,,,,,,,
473,Chandrapur,27,Maharashtra,0,No,,,,,,,,,,
474,Yavatmal,27,Maharashtra,0,No,,,,,,,,,,
475,Nanded,27,Maharashtra,0,No,,,,,,,,,,
476,Hingoli,27,Maharashtra,1,Yes,,,,,,,,,,
477,Parbhani,27,Maharashtra,0,No,,,,,,,,,,
478,Jalna,27,Maharashtra,0,No,,,,,,,,,,
479,Nashik,27,Maharashtra,0,No,,,,,,,,,,
480,Mumbai Suburban,27,Maharashtra,0,No,,,,,,,,,,
481,Mumbai,27,Maharashtra,0,No,,,,,,,,,,
482,Raigarh,27,Maharashtra,0,No,,,,,,,,,,
483,Pune,27,Maharashtra,0,No,,,,,,,,,,
484,Ahmadnagar,27,Maharashtra,0,No,,,,,,,,,,
485,Bid,27,Maharashtra,0,No,,,,,,,,,,
486,Latur,27,Maharashtra,1,Yes,,,,,,,,,,
487,Osmanabad,27,Maharashtra,1,Yes,,,,,,,,,,
488,Solapur,27,Maharashtra,0,No,,,,,,,,,,
489,Satara,27,Maharashtra,1,Yes,,,,,,,,,,
490,Ratnagiri,27,Maharashtra,0,No,,,,,,,,,,
491,Sindhudurg,27,Maharashtra,0,No,,,,,,,,,,
492,Kolhapur,27,Maharashtra,0,No,,,,,,,,,,
493,Sangli,27,Maharashtra,0,No,,,,,,,,,,
635,Palghar,27,Maharashtra,0,No,,,,,,,,,,
636,Thane,27,Maharashtra,1,Yes,,,,,,,,,,
721,Aurangabad,27,Maharashtra,0,No,,,,,,,,,,
495,Bagalkot,29,Karnataka,0,No,,,,,,,,,,
496,Bijapur,29,Karnataka,0,No,,,,,,,,,,
497,Bidar,29,Karnataka,0,No,,,,,,,,,,
498,Raichur,29,Karnataka,0,No,,,,,,,,,,
499,Koppal,29,Karnataka,0,No,,,,,,,,,,
500,Gadag,29,Karnataka,1,Yes,,,,,,,,,,
501,Dharwad,29,Karnataka,0,No,,,,,,,,,,
502,Uttara Kannada,29,Karnataka,0,No,,,,,,,,,,
503,Haveri,29,Karnataka,0,No,,,,,,,,,,
504,Bellary,29,Karnataka,0,No,,,,,,,,,,
505,Chitradurga,29,Karnataka,1,Yes,,,,,,,,,,
506,Davanagere,29,Karnataka,0,No,,,,,,,,,,
507,Shimoga,29,Karnataka,0,No,,,,,,,,,,
508,Chikmagalur,29,Karnataka,0,No,,,,,,,,,,
509,Tumkur,29,Karnataka,0,No,,,,,,,,,,
510,Bangalore,29,Karnataka,0,No,,,,,,,,,,
511,Mandya,29,Karnataka,0,No,,,,,,,,,,
512,Hassan,29,Karnataka,0,No,,,,,,,,,,
513,Dakshina Kannada,29,Karnataka,0,No,,,,,,,,,,
514,Kodagu,29,Karnataka,0,No,,,,,,,,,,
515,Mysore,29,Karnataka,0,No,,,,,,,,,,
516,Chamarajanagar,29,Karnataka,0,No,,,,,,,,,,
517,Gulbarga,29,Karnataka,0,No,,,,,,,,,,
518,Yadgir,29,Karnataka,0,No,,,,,,,,,,
519,Kolar,29,Karnataka,0,No,,,,,,,,,,
520,Chikkaballapura,29,Karnataka,0,No,,,,,,,,,,
521,Bangalore Rural,29,Karnataka,1,Yes,,,,,,,,,,
522,Ramanagara,29,Karnataka,1,Yes,,,,,,,,,,
705,Udupi,29,Karnataka,0,No,,,,,,,,,,
523,North Goa,30,Goa,0,No,,,,,,,,,,
524,South Goa,30,Goa,0,No,,,,,,,,,,
707,Lakshadweep,31,Lakshadweep,0,No,,,,,,,,,,
525,Wayanad,32,Kerala,0,No,,,,,,,,,,
526,Kozhikode,32,Kerala,0,No,,,,,,,,,,
527,Malappuram,32,Kerala,0,No,,,,,,,,,,
528,Palakkad,32,Kerala,0,No,,,,,,,,,,
529,Thrissur,32,Kerala,0,No,,,,,,,,,,
530,Ernakulam,32,Kerala,0,No,,,,,,,,,,
531,Idukki,32,Kerala,0,No,,,,,,,,,,
532,Kottayam,32,Kerala,0,No,,,,,,,,,,
533,Pathanamthitta,32,Kerala,0,No,,,,,,,,,,
534,Kollam,32,Kerala,0,No,,,,,,,,,,
535,Thiruvananthapuram,32,Kerala,0,No,,,,,,,,,,
706,Kasaragod,32,Kerala,0,No,,,,,,,,,,
708,Kannur,32,Kerala,0,No,,,,,,,,,,
709,Alappuzha,32,Kerala,0,No,,,,,,,,,,
536,Chennai,33,Tamil Nadu,0,No,,,,,,,,,,
537,Kancheepuram,33,Tamil Nadu,0,No,,,,,,,,,,
538,Vellore,33,Tamil Nadu,0,No,,,,,,,,,,
539,Tiruvannamalai,33,Tamil Nadu,0,No,,,,,,,,,,
540,Viluppuram,33,Tamil Nadu,0,No,,,,,,,,,,
541,Salem,33,Tamil Nadu,0,No,,,,,,,,,,
542,Namakkal,33,Tamil Nadu,1,Yes,,,,,,,,,,
543,Erode,33,Tamil Nadu,0,No,,,,,,,,,,
544,The Nilgiris,33,Tamil Nadu,0,No,,,,,,,,,,
545,Dindigul,33,Tamil Nadu,0,No,,,,,,,,,,
546,Karur,33,Tamil Nadu,0,No,,,,,,,,,,
547,Tiruchirappalli,33,Tamil Nadu,1,Yes,,,,,,,,,,
548,Perambalur,33,Tamil Nadu,0,No,,,,,,,,,,
549,Ariyalur,33,Tamil Nadu,0,No,,,,,,,,,,
550,Cuddalore,33,Tamil Nadu,0,No,,,,,,,,,,
551,Nagapattinam,33,Tamil Nadu,0,No,,,,,,,,,,
552,Thiruvarur,33,Tamil Nadu,0,No,,,,,,,,,,
553,Thanjavur,33,Tamil Nadu,0,No,,,,,,,,,,
554,Pudukkottai,33,Tamil Nadu,0,No,,,,,,,,,,
555,Sivaganga,33,Tamil Nadu,0,No,,,,,,,,,,
556,Madurai,33,Tamil Nadu,0,No,,,,,,,,,,
557,Theni,33,Tamil Nadu,0,No,,,,,,,,,,
558,Virudhunagar,33,Tamil Nadu,0,No,,,,,,,,,,
559,Thoothukkudi,33,Tamil Nadu,0,No,,,,,,,,,,
560,Tirunelveli,33,Tamil Nadu,0,No,,,,,,,,,,
561,Kanniyakumari,33,Tamil Nadu,0,No,,,,,,,,,,
562,Dharmapuri,33,Tamil Nadu,0,No,,,,,,,,,,
563,Krishnagiri,33,Tamil Nadu,0,No,,,,,,,,,,
564,Coimbatore,33,Tamil Nadu,0,No,,,,,,,,,,
565,Tiruppur,33,Tamil Nadu,0,No,,,,,,,,,,
698,Thiruvallur,33,Tamil Nadu,0,No,,,,,,,,,,
712,Ramanathapuram,33,Tamil Nadu,0,No,,,,,,,,,,
711,South Andaman,35,Andaman & Nicobar Islands,0,No,,,,,,,,,,
713,Nicobars,35,Andaman & Nicobar Islands,0,No,,,,,,,,,,
717,North & Middle Andaman,35,Andaman & Nicobar Islands,0,No,,,,,,,,,,
649,Adilabad,36,Telangana,0,No,,,,,,,,,,
650,Bhadradri Kothagudem,36,Telangana,0,No,,,,,,,,,,
651,Hyderabad,36,Telangana,0,No,,,,,,,,,,
652,Jagtial,36,Telangana,0,No,,,,,,,,,,
653,Jangaon,36,Telangana,0,No,,,,,,,,,,
654,Jayashankar Bhupalapally,36,Telangana,0,No,,,,,,,,,,
655,Jogulambha Gadwal,36,Telangana,0,No,,,,,,,,,,
656,Kamareddy,36,Telangana,0,No,,,,,,,,,,
657,Karimnagar,36,Telangana,0,No,,,,,,,,,,
658,Khammam,36,Telangana,0,No,,,,,,,,,,
659,Kumuram Bheem (Asifabad),36,Telangana,0,No,,,,,,,,,,
660,Mahabubabad,36,Telangana,0,No,,,,,,,,,,
661,Mahbubnagar,36,Telangana,0,No,,,,,,,,,,
662,Mancherial,36,Telangana,0,No,,,,,,,,,,
663,Medak,36,Telangana,0,No,,,,,,,,,,
664,Medchal-Malkajgiri,36,Telangana,0,No,,,,,,,,,,
665,Nagarkurnool,36,Telangana,0,No,,,,,,,,,,
666,Nalgonda,36,Telangana,0,No,,,,,,,,,,
667,Nirmal,36,Telangana,0,No,,,,,,,,,,
668,Nizamabad,36,Telangana,0,No,,,,,,,,,,
669,Peddapalle,36,Telangana,0,No,,,,,,,,,,
670,Rajanna Sircilla,36,Telangana,0,No,,,,,,,,,,
671,Ranga Reddy,36,Telangana,0,No,,,,,,,,,,
672,Sangareddy,36,Telangana,0,No,,,,,,,,,,
673,Siddipet,36,Telangana,0,No,,,,,,,,,,
674,Suryapet,36,Telangana,1,Yes,,,,,,,,,,
675,Vikarabad,36,Telangana,0,No,,,,,,,,,,
676,Wanaparthy,36,Telangana,0,No,,,,,,,,,,
677,Warangal Rural,36,Telangana,0,No,,,,,,,,,,
678,Warangal Urban,36,Telangana,0,No,,,,,,,,,,
679,Yadadri Bhuvanagiri,36,Telangana,1,Yes,,,,,,,,,,
32,Leh,38,Ladakh,1,Yes,,,,,,,,,,
718,Kargil,38,Ladakh,0,No,,,,,,,,,,
720,Aurangabad,10,Bihar,0,No,,,,,,,,,,
