district_id,centroid_lon,centroid_lat,tile_x,tile_y,zoom
391,80.81247285678656,21.03477431984078,92,56,7
392,82.60402383909145,21.19878909313295,93,56,7
393,81.56703246297509,20.711484643986708,92,56,7
394,81.08048251763793,20.118656907086894,92,56,7
395,81.07076535943047,19.56970682575832,92,56,7
396,80.69775184622455,19.27906977812858,92,56,7
397,77.00502046863258,25.751900546017403,91,54,7
398,77.86150304665262,26.41457631665139,91,54,7
399,78.59966077972824,26.464186152978982,91,54,7
400,78.1388687982749,26.03899479597524,91,54,7
401,78.60308199929139,25.838495888174755,91,54,7
402,77.80610321427176,25.362797176567337,91,54,7
403,78.72228602274825,25.113528489404324,91,54,7
404,79.7115115371691,24.87643588480582,92,54,7
405,80.22252132286063,24.71497707703975,92,54,7
406,78.26202392578125,24.45027669851393,91,54,7
407,79.56527709960938,24.448834320850164,92,54,7
408,80.78119560433923,24.7295368841674,92,54,7
409,81.40227516903177,24.78514126470284,92,54,7
410,80.96826245598564,23.559260389481587,92,55,7
411,75.15742879208507,24.665879962706065,90,54,7
412,75.7267202712749,24.579237331956488,90,54,7
413,75.0902016042856,23.498608277670876,90,55,7
414,75.60910409882645,23.323719413135933,90,55,7
415,75.98036151393147,23.07727962453475,90,55,7
416,75.10548411139148,22.49681205797157,90,55,7
417,75.75240119175143,22.71722917000459,90,55,7
418,75.7287474928518,22.104009082599735,90,55,7
419,74.96058221932412,21.978344889871344,90,55,7
420,76.73093655526263,23.86101078811987,91,55,7
421,77.80807394600431,23.892907226308118,91,55,7
422,77.39169439411558,23.47628378205616,91,55,7
423,77.1246312090359,22.98919880164654,91,55,7
424,78.11325345168807,23.21484309838589,91,55,7
425,77.8793739699145,22.078062524016858,91,55,7
426,77.11783246790269,22.234836112498794,91,55,7
427,77.98446380286447,22.5870263519453,91,55,7
428,80.334733010618,23.69851164765675,92,55,7
429,79.94525088167286,23.168301570283756,92,55,7
430,78.71926406032048,22.89382576650001,91,55,7
