district_id,centroid_lon,centroid_lat,min_tile_x,max_tile_x,min_tile_y,max_tile_y,zoom
2,81.59668180797694,17.546305867910498,185,187,114,116,8
3,82.77600398556538,17.649815660460025,185,187,114,116,8
4,77.42103400250491,14.738064302290528,182,184,116,118,8
5,78.62923400748788,14.02422300734805,182,184,116,118,8
6,80.36572857949523,15.932121505789734,184,186,115,117,8
7,78.58457980778778,13.08841128373371,182,184,117,119,8
8,82.05192018469181,16.73136237262155,185,187,114,116,8
9,81.46102485648315,16.99601406602009,184,186,114,116,8
10,81.1828346218316,16.952898416658478,184,186,114,116,8
11,80.45588105569387,16.569245626162203,184,186,115,117,8
12,82.23077472581579,17.22273076783894,185,187,114,116,8
13,80.80227731912781,16.602387851936008,184,186,115,117,8
14,77.59143023050895,15.59025774310046,182,184,115,117,8
15,78.36489863022,15.45771968339293,182,184,115,117,8
16,80.44877939963474,16.832099610667026,184,186,114,116,8
17,79.88990299035439,16.622443538830506,183,185,115,117,8
18,83.4791237117768,18.721970480731727,186,188,113,115,8
19,78.79981752300559,15.477125432889173,183,185,115,117,8
20,79.7073521560033,14.744810948473646,183,185,116,118,8
21,77.82687000137662,14.129846608119262,182,184,116,118,8
22,84.0307894408872,18.508236476348,186,188,113,115,8
23,79.72471497874554,14.090674026974677,183,185,116,118,8
24,83.24120632918553,17.78614198558924,186,188,114,116,8
25,83.41603576230473,18.26959167282304,186,188,113,115,8
26,81.52618985198887,16.7091986775528,184,186,114,116,8
27,78.4744034847332,14.634902793408454,182,184,116,118,8
28,73.95878804778167,34.67336509279739,179,181,100,102,8
29,88.35478747274676,22.52500170752998,189,191,110,112,8
30,74.20180214639271,34.52377918390473,179,181,100,102,8
31,74.64003391758062,33.92108786030127,180,182,101,103,8
32,73.14464973144923,36.61066928435957,179,181,98,100,8
33,74.0179211393373,33.77746654728867,179,181,101,103,8
34,74.38194497120656,33.265974855279914,179,181,101,103,8
35,75.58509579377328,32.572093832507235,180,182,102,104,8
36,74.36419190599972,34.30962326488406,179,181,100,102,8
37,74.88064604766686,34.59324360654561,180,182,100,102,8
38,74.92712678059495,34.11352418073035,180,182,101,103,8
39,75.04144845656558,34.309430918026955,180,182,100,102,8
40,75.01671779264481,33.9361520606564,180,182,101,103,8
41,74.81835838925171,33.72727141064318,180,182,101,103,8
42,75.26860960429235,34.24231906748309,180,182,101,103,8
43,74.84349089890813,33.5968752152669,180,182,101,103,8
44,75.64862523188212,33.08896513526328,180,182,102,104,8
45,75.19485832650352,33.314793263771044,180,182,101,103,8
46,75.7478815775435,33.629778967059586,180,182,101,103,8
47,75.30228949546643,32.88717813719387,180,182,102,104,8
48,74.84133741816149,33.22173836107625,180,182,101,103,8
49,74.75045430993366,32.790521307932785,180,182,102,104,8
50,75.09538137028473,32.57198030549496,180,182,102,104,8
51,75.94777243514636,32.65471981298569,181,183,102,104,8
52,75.86098880145462,32.147656058460186,180,182,102,104,8
53,77.59810777253335,32.49047481200834,182,184,102,104,8
54,77.31629858509216,32.08060402889554,181,183,102,104,8
55,76.82497767951625,31.962905212986776,181,183,102,104,8
56,76.5757978326677,31.88606171455803,181,183,103,105,8
57,75.99144243849163,31.765275798703318,181,183,103,105,8
58,76.65774229435591,31.36968747177712,181,183,103,105,8
59,76.89542310509391,31.039665185400704,181,183,103,105,8
60,77.41718588182418,30.664747368075435,182,184,104,106,8
61,77.6180276206468,31.19525752579065,182,184,103,105,8
62,78.5304456394826,31.95602366947412,182,184,102,104,8
63,75.39694644315746,31.345838949033443,180,182,103,105,8
64,75.55338177057202,31.20778582305652,180,182,103,105,8
65,75.69236289700856,31.957690159524947,180,182,102,104,8
66,75.94358207951059,31.149697408108924,181,183,103,105,8
67,76.34947528859804,30.628196842951656,181,183,104,106,8
68,75.69746878196395,30.79428119284212,180,182,103,105,8
69,75.16350053315858,30.753587452206013,180,182,103,105,8
70,74.5305318768923,30.288745557874208,179,181,104,106,8
71,74.76766114373083,30.603965933563224,180,182,104,106,8
72,75.02991823414597,30.17849759190053,180,182,104,106,8
73,75.42861132384313,29.90738408219372,180,182,104,106,8
74,76.00635356916204,30.081924247184336,181,183,104,106,8
75,74.81385617532075,31.93650557355161,180,182,103,105,8
76,74.83671663815788,31.330588136703145,180,182,103,105,8
77,76.47259172577184,31.055866092479956,181,183,103,105,8
78,76.7235743031872,30.68058158359746,181,183,104,106,8
79,75.83770169043477,30.20835535300748,180,182,104,106,8
80,75.4892854950844,30.383233870097285,180,182,104,106,8
81,76.76805990444845,30.726406260025986,181,183,104,106,8
82,78.36886966924949,30.925356626063486,182,184,103,105,8
83,79.5715387389564,30.4946446910044,183,185,104,106,8
84,78.83184019709967,30.416105600767647,183,185,104,106,8
85,78.48700179821425,30.4067970398106,182,184,104,106,8
86,77.95955906186258,30.46246645565469,182,184,104,106,8
87,78.60184993735554,29.88391884990833,182,184,104,106,8
88,80.34087173061688,30.10944038058205,184,186,104,106,8
89,79.84612331634628,29.99260801051751,183,185,104,106,8
90,79.48672470718839,29.695206942736743,183,185,104,106,8
91,80.02476528917097,29.48217323690724,183,185,105,107,8
92,78.83522242715914,29.375228404204336,183,185,105,107,8
93,78.7956238987745,29.31062937122268,183,185,105,107,8
94,77.9886487121296,29.874125659554974,182,184,104,106,8
95,76.96538835089164,30.671132623047303,181,183,104,106,8
96,76.93840416079414,30.3258775497875,181,183,104,106,8
97,77.29543170853943,30.23253922383399,181,183,104,106,8
98,76.7791211240117,30.035347195579696,181,183,104,106,8
99,76.41016573544377,29.81221203920839,181,183,104,106,8
100,76.88625536492052,29.68518385431541,181,183,104,106,8
101,76.86031483892187,29.471158438221444,181,183,105,107,8
102,76.86871867220262,29.05816007540313,181,183,105,107,8
103,75.98409597500769,29.60932485744,181,183,104,106,8
104,75.60853682116334,29.620163310316705,180,182,104,106,8
105,74.86969554410179,29.689201138344608,180,182,104,106,8
106,75.87364370557327,29.49949824778764,180,182,105,107,8
107,76.52413815704536,28.912805739594894,181,183,105,107,8
