County name,Child Mo_1,Life Expec,HIV Preval,Drug Overd,Insufficient Sleep,Homicide R,Homeowners,Population,65 and over,Rural
Goochland County,0,80.1,243,16,34,0,85,26109,24.9,92.7
Greene County,0,78.6,131,20,35,0,78,21107,19.2,100
Patrick County,0,73.5,77,49,35,0,79,17643,27.9,100
Madison County,0,78.1,83,25,34,0,79,14000,23.6,100
Charlotte County,0,71.8,164,54,39,0,69,11475,22.8,100
Radford city,0,76,93,0,36,0,46,16738,9.8,4.2
Buena Vista city,0,71.6,125,0,37,0,58,6591,19,2.2
Grayson County,0,76,132,0,39,0,81,15343,26,99.9
Giles County,0,72.8,84,24,34,0,78,16453,22.3,100
Scott County,0,73.9,58,28,36,0,79,21476,25.4,98.3
Charles City County,0,75.2,303,0,40,0,85,6605,27.1,100
Manassas Park city,0,85.3,232,21,35,0,63,16703,10,0
Carroll County,0,75.7,71,22,36,0,78,29147,26.2,97.6
Bath County,0,75.7,0,0,37,0,71,4049,29.6,100
Cumberland County,0,77.6,263,0,38,0,78,9746,23.6,93.3
Lexington city,0,76.3,0,0,34,0,53,7457,14.4,0
Clarke County,0,77.9,200,29,31,0,78,15266,23.2,100
Dickenson County,0,72.2,42,50,39,0,77,13725,24.6,100
Amelia County,0,73.4,158,43,37,0,84,13455,21.4,100
Botetourt County,0,78.3,101,27,35,0,87,34135,24.4,59.4
Norton city,0,69,0,0,37,0,53,3609,18.2,9.9
Williamsburg city,0,76.6,231,26,36,0,51,15909,17.6,0.1
Westmoreland County,0,76,191,36,39,0,77,18712,27.2,78.5
Rockbridge County,0,77.5,95,15,33,0,78,22593,27.7,90.1
Nelson County,0,77.6,207,0,34,0,79,14652,29.6,100
Martinsville city,0,66.7,364,60,41,13,55,13725,17.1,0.1
Fluvanna County,0,79.7,183,12,35,0,88,28159,21.7,63.9
Mathews County,0,76.2,210,0,33,0,84,8490,32.7,100
Galax city,0,66.2,146,0,37,0,71,6730,17.3,9.9
Bland County,0,75.7,144,0,36,0,85,6148,25.4,100
Lee County,0,72.8,104,22,39,0,72,21982,23.4,100
Northampton County,0,73.9,380,31,37,0,64,11900,29.5,100
Highland County,0,78.6,0,0,33,0,86,2301,37.9,100
Brunswick County,0,74.5,416,39,41,0,73,15921,22.5,100
Lancaster County,0,75.1,338,0,36,0,82,10750,38.6,100
Richmond County,0,76.7,390,0,41,0,69,9080,21.5,100
